market,candle_date_time_utc,candle_date_time_kst,opening_price,high_price,low_price,trade_price,timestamp,candle_acc_trade_price,candle_acc_trade_volume,prev_closing_price,change_price,change_rate
KRW-BTC,2025-12-02T00:00:00,2025-12-02 09:00:00,129169000.0,137330000.0,128650000.0,135626000.0,1764719999795,396678047925.69775,2981.09361989,129172000.0,6454000.0,0.0499643886
KRW-BTC,2025-12-03T00:00:00,2025-12-03 09:00:00,135683000.0,140212000.0,135200000.0,138881000.0,1764806399775,399701804681.7536,2892.41653651,135626000.0,3255000.0,0.023999823
KRW-BTC,2025-12-04T00:00:00,2025-12-04 09:00:00,138998000.0,139769000.0,135909000.0,137390000.0,1764892799863,224538052444.97287,1624.69297075,138881000.0,-1491000.0,-0.0107358098
KRW-BTC,2025-12-05T00:00:00,2025-12-05 09:00:00,137447000.0,138298000.0,132000000.0,133828000.0,1764979199662,263112470796.4635,1944.65242825,137390000.0,-3562000.0,-0.0259261955
KRW-BTC,2025-12-06T00:00:00,2025-12-06 09:00:00,133870000.0,134940000.0,133200000.0,133598000.0,1765065595047,90551171310.31982,675.40470233,133828000.0,-230000.0,-0.0017186239
KRW-BTC,2025-12-07T00:00:00,2025-12-07 09:00:00,133601000.0,136800000.0,131333000.0,135195000.0,1765151999101,168135178062.66968,1255.39465592,133598000.0,1597000.0,0.0119537718
KRW-BTC,2025-12-08T00:00:00,2025-12-08 09:00:00,135195000.0,137296000.0,133758000.0,134986000.0,1765238398064,187798047283.34946,1384.0073064,135195000.0,-209000.0,-0.0015459152
KRW-BTC,2025-12-09T00:00:00,2025-12-09 09:00:00,134975000.0,139858000.0,133300000.0,137200000.0,1765324799831,267662639853.5522,1957.43520256,134986000.0,2214000.0,0.0164017009
KRW-BTC,2025-12-10T00:00:00,2025-12-10 09:00:00,137254000.0,139789000.0,136304000.0,136700000.0,1765411200039,234833892052.77008,1708.13265878,137200000.0,-500000.0,-0.0036443149
KRW-BTC,2025-12-11T00:00:00,2025-12-11 09:00:00,136702000.0,138792000.0,133364000.0,137332000.0,1765497599619,250656986661.03568,1851.33056914,136700000.0,632000.0,0.0046232626
KRW-BTC,2025-12-12T00:00:00,2025-12-12 09:00:00,137333000.0,137731000.0,134134000.0,134902000.0,1765584000028,169975973059.3464,1248.58776744,137332000.0,-2430000.0,-0.0176943465
KRW-BTC,2025-12-13T00:00:00,2025-12-13 09:00:00,134930000.0,135120000.0,134150000.0,134733000.0,1765670399808,66297903213.14032,492.0558567,134902000.0,-169000.0,-0.0012527613
KRW-BTC,2025-12-14T00:00:00,2025-12-14 09:00:00,134733000.0,135000000.0,131183000.0,131795000.0,1765756799857,154221042564.57495,1158.59216437,134733000.0,-2938000.0,-0.0218060906
KRW-BTC,2025-12-15T00:00:00,2025-12-15 09:00:00,131797000.0,134235000.0,127602000.0,129132000.0,1765843198278,294801717594.39166,2256.23690222,131795000.0,-2663000.0,-0.0202056224
KRW-BTC,2025-12-16T00:00:00,2025-12-16 09:00:00,129132000.0,131100000.0,127000000.0,130682000.0,1765929599158,236810911284.35358,1837.67046579,129132000.0,1550000.0,0.0120032215
KRW-BTC,2025-12-17T00:00:00,2025-12-17 09:00:00,130682000.0,134100000.0,127633000.0,128680000.0,1766015998293,229876839404.95648,1765.6164555,130682000.0,-2002000.0,-0.0153196309
KRW-BTC,2025-12-18T00:00:00,2025-12-18 09:00:00,128680000.0,132900000.0,126226000.0,127135000.0,1766102399913,302729023713.09247,2340.67880555,128680000.0,-1545000.0,-0.0120065278
KRW-BTC,2025-12-19T00:00:00,2025-12-19 09:00:00,127233000.0,132770000.0,126551000.0,131223000.0,1766188799711,275795430030.47906,2121.91118891,127135000.0,4088000.0,0.0321547961
KRW-BTC,2025-12-20T00:00:00,2025-12-20 09:00:00,131223000.0,132189000.0,130767000.0,131469000.0,1766275198741,70211828269.29736,533.95265461,131223000.0,246000.0,0.0018746714
KRW-BTC,2025-12-21T00:00:00,2025-12-21 09:00:00,131526000.0,132486000.0,130399000.0,131860000.0,1766361599640,96291609969.34177,732.35677464,131469000.0,391000.0,0.0029740851
KRW-BTC,2025-12-22T00:00:00,2025-12-22 09:00:00,131859000.0,134750000.0,131050000.0,132200000.0,1766447999856,213800401018.91458,1607.47665651,131860000.0,340000.0,0.0025784923
KRW-BTC,2025-12-23T00:00:00,2025-12-23 09:00:00,132201000.0,132618000.0,129380000.0,130451000.0,1766534398695,163735164301.04507,1251.77181168,132200000.0,-1749000.0,-0.0132299546
KRW-BTC,2025-12-24T00:00:00,2025-12-24 09:00:00,130451000.0,130550000.0,127900000.0,129236000.0,1766620799311,159130698816.40912,1233.62965006,130451000.0,-1215000.0,-0.009313842
KRW-BTC,2025-12-25T00:00:00,2025-12-25 09:00:00,129236000.0,130200000.0,128100000.0,128498000.0,1766707200044,87035042323.77747,673.76504377,129236000.0,-738000.0,-0.0057104831
KRW-BTC,2025-12-26T00:00:00,2025-12-26 09:00:00,128497000.0,130800000.0,127439000.0,128152000.0,1766793600003,182807547979.7103,1416.92893291,128498000.0,-346000.0,-0.0026926489
KRW-BTC,2025-12-27T00:00:00,2025-12-27 09:00:00,128149000.0,128396000.0,127713000.0,128298000.0,1766879999180,48964490903.66592,382.26856914,128152000.0,146000.0,0.0011392721
KRW-BTC,2025-12-28T00:00:00,2025-12-28 09:00:00,128298000.0,128385000.0,127522000.0,127914000.0,1766966399436,53105708794.09582,414.89194697,128298000.0,-384000.0,-0.0029930318
